證券代號,大戶比例_本週,千張比例_本週,散戶比例_本週,大戶比例_上週,千張比例_上週,散戶比例_上週,本週增減,千張本週增減,散戶本週增減,上週增減,分類
5314,40.949999999999996,36.55,58.980000000000004,44.44,40.03,55.480000000000004,-3.490000000000002,-3.480000000000004,3.5,4.960000000000001,下車
00990B,34.15,24.52,65.78999999999999,38.120000000000005,31.12,61.81,-3.970000000000006,-6.600000000000001,3.9799999999999898,-2.6599999999999895,續賣
8103,46.0,27.56,53.91,50.75,33.79,49.17,-4.75,-6.23,4.739999999999995,1.7000000000000028,下車
6179,44.24,33.99,55.68,50.22,40.35,49.7,-5.979999999999997,-6.359999999999999,5.979999999999997,7.269999999999996,下車
6667,48.72,44.14,51.23,54.9,50.43,45.03,-6.18,-6.289999999999999,6.199999999999996,3.9499999999999957,下車
8157,78.63000000000001,73.65,21.31,100.0,100.0,0.0,-21.36999999999999,-26.349999999999994,21.31,21.36,下車
8277O,0.0,0.0,0.0,21.77,15.74,78.16,-21.77,-15.74,-78.16,21.77,下車
8059,71.55,67.57,28.39,100.0,100.0,0.0,-28.450000000000003,-32.43000000000001,28.39,27.02000000000001,下車
2321,71.42999999999999,67.91,28.52,100.0,100.0,0.0,-28.570000000000007,-32.09,28.52,28.659999999999997,下車
5271O,0.0,0.0,0.0,29.509999999999998,20.52,70.41,-29.509999999999998,-20.52,-70.41,29.509999999999998,下車
3710O,0.0,0.0,0.0,32.879999999999995,22.16,67.04,-32.879999999999995,-22.16,-67.04,32.879999999999995,下車
3356O,0.0,0.0,0.0,34.84,29.28,65.10000000000001,-34.84,-29.28,-65.10000000000001,34.84,下車
3591,52.43,45.6,47.489999999999995,100.0,100.0,0.0,-47.57,-54.4,47.489999999999995,45.53,下車
3591O,0.0,0.0,0.0,53.68,47.2,46.26,-53.68,-47.2,-46.26,53.68,下車
3356,34.5,27.84,65.42999999999999,100.0,100.0,0.0,-65.5,-72.16,65.42999999999999,64.41,下車
3688O,0.0,0.0,0.0,67.86999999999999,65.63,32.04,-67.86999999999999,-65.63,-32.04,67.86999999999999,下車
2321O,0.0,0.0,0.0,71.37,71.37,28.59,-71.37,-71.37,-28.59,71.37,下車
5271,27.32,16.66,72.6,100.0,100.0,0.0,-72.68,-83.34,72.6,70.51,下車
8059O,0.0,0.0,0.0,73.01,69.37,26.92,-73.01,-69.37,-26.92,73.01,下車
3710,26.0,16.67,73.92,100.0,100.0,0.0,-74.0,-83.33,73.92,67.22,下車
6536O,0.0,0.0,0.0,74.31,58.26,25.62,-74.31,-58.26,-25.62,74.31,下車
8157O,0.0,0.0,0.0,78.64,78.64,21.29,-78.64,-78.64,-21.29,78.64,下車
8277,15.9,13.48,84.03999999999999,100.0,100.0,0.0,-84.1,-86.52,84.03999999999999,79.01,下車
